millis,dt,v,a,watts,v_sh
194,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
200,1970-01-01 00:00:00,5.080,0.028,0.142,0.003
207,1970-01-01 00:00:00,5.088,0.081,0.413,0.008
213,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
223,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
233,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
243,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
253,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
263,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
273,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
283,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
293,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
303,1970-01-01 00:00:00,5.064,0.044,0.225,0.004
313,1970-01-01 00:00:00,5.064,0.028,0.140,0.003
323,1970-01-01 00:00:00,5.088,0.028,0.140,0.003
333,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
343,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
353,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
363,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
373,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
383,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
393,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
403,1970-01-01 00:00:00,5.072,0.027,0.138,0.003
413,1970-01-01 00:00:00,5.072,0.077,0.390,0.008
423,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
433,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
443,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
453,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
463,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
473,1970-01-01 00:00:00,5.088,0.058,0.295,0.006
483,1970-01-01 00:00:00,5.056,0.058,0.293,0.006
493,1970-01-01 00:00:00,5.056,0.085,0.429,0.008
503,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
513,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
523,1970-01-01 00:00:00,5.072,0.081,0.410,0.008
533,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
543,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
553,1970-01-01 00:00:00,5.072,0.028,0.144,0.003
563,1970-01-01 00:00:00,5.088,0.028,0.144,0.003
573,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
583,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
593,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
603,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
613,1970-01-01 00:00:00,5.072,0.079,0.400,0.008
623,1970-01-01 00:00:00,5.064,0.079,0.399,0.008
633,1970-01-01 00:00:00,5.064,0.031,0.158,0.003
643,1970-01-01 00:00:00,5.088,0.031,0.159,0.003
653,1970-01-01 00:00:00,5.088,0.028,0.142,0.003
663,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
673,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
683,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
693,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
703,1970-01-01 00:00:00,5.080,0.027,0.138,0.003
713,1970-01-01 00:00:00,5.080,0.061,0.309,0.006
723,1970-01-01 00:00:00,5.072,0.082,0.416,0.008
733,1970-01-01 00:00:00,5.088,0.082,0.417,0.008
743,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
753,1970-01-01 00:00:00,5.088,0.027,0.138,0.003
